index,episode,episode_name,segment,type,actor,character,detail,record_date,series,transmission_date
0,1,"Episode One: Whither Canada?",,Direction,,,"A seashore. Some way out to sea a ragged man is struggling his way to shore. Slowly and with difficulty he makes his way up onto the beach, flops down exhausted and announces:","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
1,1,"Episode One: Whither Canada?",,Dialogue,"Michael Palin","It's Man","It's...","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
2,1,"Episode One: Whither Canada?",,Dialogue,"John Cleese","Voice Over","Monty Python's Flying Circus.","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
3,1,"Episode One: Whither Canada?",,Direction,,,"Titles beginning with words ""Monty Python's Flying Circus"". Various bizarre things happen. When titles end:","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
4,1,"Episode One: Whither Canada?",,Direction,,,"Ordinary grey-suited announcer standing by desk. He smiles confidently.","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
5,1,"Episode One: Whither Canada?",,Dialogue,"Graham Chapman",Announcer,"Good evening.","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
6,1,"Episode One: Whither Canada?",,Direction,,,"The announcer confidently moves to chair and sits down. There is a squeal as of a pig being sat upon.","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
7,1,"Episode One: Whither Canada?",,Direction,,,"Cut to a blackboard with several lines of pigs drawn on it in colour. A man steps into view and with a piece of chalk crosses out one of the pigs","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
8,1,"Episode One: Whither Canada?","It's Wolfgang Amadeus Mozart",Direction,,,"CAPTION: 'IT'S WOLFGANG AMADEUS MOZART'","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
9,1,"Episode One: Whither Canada?","It's Wolfgang Amadeus Mozart",Direction,,,"Mozart sitting at piano tinkling with the keys. He finishes tinkling.","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
10,1,"Episode One: Whither Canada?","Famous deaths",Dialogue,"John Cleese",Mozart,"Hello again, and welcome to the show. Tonight we continue to look at some famous deaths. Tonight we start with the wonderful death of Genghis Khan, conqueror of India. Take it away Genghis.","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
11,1,"Episode One: Whither Canada?","Famous deaths",Direction,,,"Cut to Genghis Khan's tent. Genghis strides about purposefully. Indian-style background music. Suddenly the music cuts out and Genghis Khan with a squawk throws himself in the air and lands on his back. This happens very suddenly. Judges hold up cards with points on, in the manner of ice skating judges.","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
12,1,"Episode One: Whither Canada?","Famous deaths",Dialogue,"Graham Chapman","Voice Over","9.1, 9.3, 9.7, that's 28.1 for Genghis Khan.","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
13,1,"Episode One: Whither Canada?","Famous deaths",Direction,,,"Mozart still at piano.","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
14,1,"Episode One: Whither Canada?","Famous deaths",Dialogue,"John Cleese",Mozart,"Bad luck Genghis. Nice to have you on the show. And now here are the scores.","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
15,1,"Episode One: Whither Canada?","Famous deaths",Direction,,,"Scoreboard with Eddie Waring figure standing by it. The scoreboard looks a little like this:","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
16,1,"Episode One: Whither Canada?","Famous deaths",Direction,,,"St Stephan 29.9 Richard III 29.3 Jean D'arc 29.1 Marat 29.0 A. Lincoln (U.S of A)  28.2 G. Khan 28.1 King Edward VII 3.1 ","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
17,1,"Episode One: Whither Canada?","Famous deaths",Dialogue,"Eric Idle",Eddie,"Well there you can see the scores now. St Stephen in the lead there with his stoning, then comes King Richard the Third at Bosworth Field, a grand death that, then the very lovely Jean d'Arc, then Marat in his bath - best of friends with Charlotte in the showers afterwards - then A. Lincoln of the U.S of A, a grand little chap that, and number six Genghis Khan, and the back marker King Edward the Seventh. Back to you, Wolfgang.","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
18,1,"Episode One: Whither Canada?","Famous deaths",Dialogue,"John Cleese",Mozart,"Thank you, Eddie. And now time for this week's request death.","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
19,1,"Episode One: Whither Canada?","Famous deaths",Direction,,Mozart,"taking card off piano","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
20,1,"Episode One: Whither Canada?","Famous deaths",Dialogue,"John Cleese",Mozart,"For Mr and Mrs Violet Stebbings of 23 Wolverston Road, Hull, the death of Mr Bruce Foster of Guildford.","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
21,1,"Episode One: Whither Canada?","Famous deaths",Direction,,,"Cut to a lounge setting. Mr Foster sitting in chair.","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
22,1,"Episode One: Whither Canada?","Famous deaths",Dialogue,"Graham Chapman",Foster,Strewth!,"1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
23,1,"Episode One: Whither Canada?","Famous deaths",Direction,,Foster,"he dies","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
24,1,"Episode One: Whither Canada?","Famous deaths",Direction,,,"Mozart still there. He looks at watch.","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
25,1,"Episode One: Whither Canada?","Famous deaths",Dialogue,"John Cleese",Mozart,"Oh blimey, how time flies. Sadly we are reaching the end of yet another programme and so it is finale time. We are proud to be bringing to you one of the evergreen bucket kickers. Yes, the wonderful death of the famous English Admiral Nelson.","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
26,1,"Episode One: Whither Canada?","Famous deaths",Direction,,,"Cut to a modern office block, as high as possible. After a pause a body flies out of the top window looking as much like Nelson as possible. As it plummets there is a strangled scream.","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
27,1,"Episode One: Whither Canada?","Famous deaths",Direction,,Nelson,"Kiss me Hardy!","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
28,1,"Episode One: Whither Canada?","Famous deaths",Direction,,,"The body hits the ground. There is the loud noise of a pig squealing.","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
29,1,"Episode One: Whither Canada?","Italian lesson",,,,"Cut to a night school Teacher looking down out of classroom window. He crosses to a long wall blackboard with line of pigs drawn on near end. He crosses one off, walks along blackboard to other end which has written on it 'evening classes 7-8 p.m.'. He writes 'Italian' below this and turns to camera.","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
30,1,"Episode One: Whither Canada?","Italian lesson",Dialogue,"Terry Jones",Teacher,"Ah - good evening everyone, and welcome to the second of our Italian language classes, in which we'll be helping you brush up your Italian. Last week we started at the beginning, and we learnt the Italian for a 'spoon'. Now, I wonder how many of you can remember what it was?","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
31,1,"Episode One: Whither Canada?","Italian lesson",Direction,,,"Shout of 'Si! Si! Si!' from the class whom we see are all Italians.","1969-09-07 00:00:00",1/1,"1969-10-05 00:00:00"
